experiment,source,target,kl_val
E5_PROB_TO_PROB,factor 1,factor 1,1.7305795685373937e-09
E5_PROB_TO_PROB,factor 1,factor 2,0.0017210973892360926
E5_PROB_TO_PROB,factor 1,factor 3,0.03395114094018936
E5_PROB_TO_PROB,factor 1,factor distribution,0.13604657351970673
E5_PROB_TO_PROB,factor 2,factor 1,0.005441009532660246
E5_PROB_TO_PROB,factor 2,factor 2,-4.326538682875025e-09
E5_PROB_TO_PROB,factor 2,factor 3,0.04120946303009987
E5_PROB_TO_PROB,factor 2,factor distribution,0.13794027268886566
E5_PROB_TO_PROB,factor 3,factor 1,0.005294368602335453
E5_PROB_TO_PROB,factor 3,factor 2,0.007730423007160425
E5_PROB_TO_PROB,factor 3,factor 3,-5.000965419554859e-09
E5_PROB_TO_PROB,factor 3,factor distribution,0.13927866518497467
E5_PROB_TO_PROB,factor distribution,factor 1,0.6010388135910034
E5_PROB_TO_PROB,factor distribution,factor 2,0.41165873408317566
E5_PROB_TO_PROB,factor distribution,factor 3,0.7593114972114563
E5_PROB_TO_PROB,factor distribution,factor distribution,-2.1660270022039185e-08
